asset_id,recorded_at,vibration,temperature,pressure,rms,kurtosis,peak_to_peak
AST-001,2003-10-22 12:06:24,0.562,58.98,5.841,0.08202,3.0103,0.38219
AST-001,2003-10-22 12:16:24,0.503,57.88,5.974,0.07804,2.86353,0.40363
AST-001,2003-10-22 12:26:24,0.631,59.92,5.919,0.09006,2.98464,0.48239
AST-001,2003-10-22 12:36:24,0.639,57.33,6.098,0.07884,3.14602,0.43276
AST-001,2003-10-22 12:46:24,0.589,59.65,5.859,0.09003,2.97976,0.46188
AST-001,2003-10-22 12:56:24,0.623,59.93,5.756,0.07969,3.15343,0.43496
AST-001,2003-10-22 13:06:24,0.688,59.65,5.858,0.08826,3.06905,0.40226
AST-001,2003-10-22 13:16:24,0.658,57.74,6.185,0.07213,3.1414,0.38271
AST-001,2003-10-22 13:26:24,0.642,59.51,6.058,0.08403,2.68922,0.46089
AST-001,2003-10-22 13:36:24,0.642,57.76,6.013,0.07461,3.0565,0.3883
AST-001,2003-10-22 13:46:24,0.569,59.23,5.935,0.08926,2.8908,0.38186
AST-001,2003-10-22 13:56:24,0.657,59.54,5.89,0.07557,3.05869,0.35327
AST-001,2003-10-22 14:06:24,0.533,58.95,6.29,0.06373,3.27488,0.3065
AST-001,2003-10-22 14:16:24,0.597,59.82,6.263,0.07981,3.09339,0.42185
AST-001,2003-10-22 14:26:24,0.593,59.16,5.92,0.07625,3.12297,0.28831
AST-001,2003-10-22 14:36:24,0.532,59.24,5.997,0.09287,3.06212,0.44944
AST-001,2003-10-22 14:46:24,0.61,60.19,6.021,0.08576,3.00665,0.36343
AST-001,2003-10-22 14:56:24,0.695,60.28,6.061,0.08402,2.98125,0.29579
AST-001,2003-10-22 15:06:24,0.601,60.59,5.727,0.08049,2.92328,0.35871
AST-001,2003-10-22 15:16:24,0.56,60.39,5.983,0.0861,2.9602,0.37791
AST-001,2003-10-22 15:26:24,0.614,61.32,5.971,0.07777,3.07904,0.36387
AST-001,2003-10-22 15:36:24,0.66,60.57,5.947,0.081,3.04697,0.29795
AST-001,2003-10-22 15:46:24,0.629,59.61,5.956,0.08181,3.18534,0.4079
AST-001,2003-10-22 15:56:24,0.62,57.99,6.23,0.08571,2.97546,0.36912
